playerName_x,playerPrice,playerPos,playerClub,playerImg_x,TotalPoints,Goals,Assists,BallsRecov,match_name,score,playerName_y,Team,OverallRating,playerImgy,TeamImg,FlagImg,Nation,Pace,Shooting,Passing,Dribbling,Defending,Physicality
L. De Jong,8.5,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250005343.jpg?v=4.07,20,2,0,6,Kevin De Bruyne,86,Kevin De Bruyne,Manchester City,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192985.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,722,88,941,87,651,781
J. Musiala,8.4,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250124430.jpg?v=4.07,23,2,1,11,Jamal Musiala,84,Jamal Musiala,FC Bayern München,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p256790.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,8510,752,761,914,63,611
Raphinha,8.4,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112880.jpg?v=4.07,12,0,2,5,Raphinha,100,Raphinha,FC Barcelona,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p233419.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Brazil,91,79,781,861,533,73
Bernardo Silva,8.3,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250059115.jpg?v=4.07,7,0,0,2,Bernardo Silva,100,Bernardo Silva,Manchester City,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p218667.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,Portugal,698,78,862,92,709,691
João Félix,8.2,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101463.jpg?v=4.07,25,3,1,2,João Félix,100,João Félix,FC Barcelona,81,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p242444.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,Portugal,812,791,783,853,40,67
P. Foden,8.1,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101534.jpg?v=4.07,38,3,2,10,Phil Foden,79,Phil Foden,Manchester City,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p237692.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,England,811,791,821,88,571,60
İ. Gündoğan,8.1,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250005335.jpg?v=4.07,28,0,3,14,İlkay Gündoğan,84,İlkay Gündoğan,FC Barcelona,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p186942.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,622,811,841,861,72,731
M. Taremi,8.1,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250097909.jpg?v=4.07,27,2,2,12,Mehdi Taremi,82,Mehdi Taremi,FC Porto,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p241788.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/7e1BdoHLY0BxzU1Y9t2NZ9/e83ac2aecea93bbad781d7abf69a1c8b/236.png,https://images.ctfassets.net/rs6bgs1g8dbr/5oovObn2dmyQJT30nIiVoH/576c48f4e4d9249f787fbe1b2f3512c4/f_161.png,Iran,781,811,762,81,38,742
Á. Morata,8.0,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024456.jpg?v=4.07,34,5,0,6,Morata,100,Morata,Atlético de Madrid,83,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p201153.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,822,824,72,791,31,792
K. Coman,8.0,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250054949.jpg?v=4.07,32,2,0,11,Kingsley Coman,86,Kingsley Coman,FC Bayern München,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p213345.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,France,893,761,79,87,30,62
K. Adeyemi,8.0,FWD,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250127347.jpg?v=4.07,22,2,1,11,Karim Adeyemi,84,Karim Adeyemi,Borussia Dortmund,80,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p251852.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/GQTDDz0ijHzyTASt7DvFm/55446801ef41d55533b82c26c1d1e56f/22.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,963,771,715,813,3410,682
O. Dembélé,8.0,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250066886.jpg?v=4.07,12,0,1,12,Ousmane Dembélé,86,Ousmane Dembélé,Paris SG,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p231443.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,France,93,77,812,87,36,571
J. Bellingham,7.9,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128377.jpg?v=4.07,50,4,3,14,Jude Bellingham,86,Jude Bellingham,Real Madrid,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p252371.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,England,761,75,791,851,781,822
J. Grealish,7.9,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250042329.jpg?v=4.07,13,0,1,7,Jack Grealish,85,Jack Grealish,Manchester City,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p206517.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,England,76,76,841,881,537,734
M. Asensio,7.9,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250080570.jpg?v=4.07,3,0,0,3,Marco Asensio,84,Marco Asensio,Paris SG,83,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p220834.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,811,811,81,83,43,631
L. Openda,7.8,FWD,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250096954.jpg?v=4.07,30,4,0,3,Loïs Openda,85,Loïs Openda,RB Leipzig,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p243580.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4JUfthPSJXlhOAcEl7Izgb/0577cc3edc3fedbfa511d6c6332b6e28/112172.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,93,796,684,806,315,782
S. Haller,7.8,FWD,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250027043.jpg?v=4.07,2,0,0,2,Sébastien Haller,86,Sébastien Haller,Borussia Dortmund,83,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p205693.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/GQTDDz0ijHzyTASt7DvFm/55446801ef41d55533b82c26c1d1e56f/22.png,https://images.ctfassets.net/rs6bgs1g8dbr/3bhJFJ9J9zafZoTdCMPUFZ/e2d9f8e714b6bbcfcdb691d034f292ad/f_108.png,Côte d'Ivoire,623,811,631,762,52,811
C. Immobile,7.7,FWD,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250005254.jpg?v=4.07,27,3,0,5,Ciro Immobile,85,Ciro Immobile,Latium,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192387.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/3bAH16oyMK2cTl3Vpf29Z5/7fc0c85c8544ed967ec2509d169a51e3/115841.png,https://images.ctfassets.net/rs6bgs1g8dbr/EHrJWMzTNIVkWKssiD4Oc/366d836ba975be3d6abf7d3ffdebbb3f/f_27.png,Italy,85,87,68,782,39,741
T. Werner,7.7,FWD,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250049183.jpg?v=4.07,4,0,0,2,Timo Werner,82,Timo Werner,RB Leipzig,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p212188.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4JUfthPSJXlhOAcEl7Izgb/0577cc3edc3fedbfa511d6c6332b6e28/112172.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,911,80,701,82,35,69
L. Trossard,7.6,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250023009.jpg?v=4.07,24,2,1,5,Leandro Trossard,85,Leandro Trossard,Arsenal,81,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p207421.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,811,802,782,843,30,611
Johan Bakayoko,7.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250130406.jpg?v=4.07,26,1,1,12,Johan Bakayoko,100,Johan Bakayoko,PSV,75,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p265450.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/5C7ugikXTsPFTElZkD3xAU/9da6a26432b668026acab4f8ac88c89e/247.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,86,665,668,787,301,634
P. Zieliński,7.5,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024370.jpg?v=4.07,24,1,1,13,Piotr Zieliński,86,Piotr Zieliński,Napoli FC,83,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p210406.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/40PGLIPk7e71KQC6Sl1q7H/87a8e32ef6de16632b0bf74af3b3b833/116365.png,https://images.ctfassets.net/rs6bgs1g8dbr/KLzBJsJ0eQPZm4hVsZFgc/1a1b9891525684b366053c13c6c87487/f_37.png,Poland,81,771,81,86,711,631
