playerName,playerPrice,playerPos,playerClub,playerImg,TotalPoints,Goals,Assists,BallsRecov
N. Füllkrug,7.5,FWD,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041844.jpg?v=4.07,18,1,1,1
E. Forsberg,7.5,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250013469.jpg?v=4.07,17,1,0,10
F. Valverde,7.5,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101284.jpg?v=4.07,15,0,0,15
André Silva,7.5,FWD,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250042521.jpg?v=4.07,0,0,0,0
Alexis Sánchez,7.4,FWD,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250003528.jpg?v=4.07,18,2,0,5
B. Šeško,7.4,FWD,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250127111.jpg?v=4.07,17,2,0,4
L. Yamal,7.4,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176450.jpg?v=4.07,14,0,1,15
G. Raspadori,7.4,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250105617.jpg?v=4.07,11,1,0,2
D. Malen,7.4,FWD,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081555.jpg?v=4.07,11,0,0,1
M. Depay,7.4,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024860.jpg?v=4.07,2,0,0,0
Joselu,7.3,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250005193.jpg?v=4.07,22,3,0,2
I. Saibari,7.3,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134320.jpg?v=4.07,15,1,0,6
Á. Correa,7.3,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086315.jpg?v=4.07,8,0,0,8
Evanilson,7.2,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250145251.jpg?v=4.07,31,4,1,5
J. Álvarez,7.2,FWD,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250172668.jpg?v=4.07,25,4,1,1
M. Politano,7.2,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250050381.jpg?v=4.07,23,1,1,14
G. Simeone,7.2,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176138.jpg?v=4.07,8,1,0,3
E. Choupo-Moting,7.2,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1904338.jpg?v=4.07,3,0,0,0
M. Merino,7.1,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250080572.jpg?v=4.07,27,1,1,31
H. Çalhanoğlu,7.1,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250022829.jpg?v=4.07,26,1,0,28
D. Gonçalves,7,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250076224.jpg?v=4.07,29,2,1,10
K. Havertz,7,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250087938.jpg?v=4.07,18,1,0,15
H. Mkhitaryan,7,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/98023.jpg?v=4.07,16,0,1,16
J. Veerman,7,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250105890.jpg?v=4.07,15,0,0,19
N. Barella,7,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250066739.jpg?v=4.07,11,0,0,14
N. Lang,7,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250091165.jpg?v=4.07,7,0,0,2
D. Olmo,7,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081720.jpg?v=4.07,6,1,0,0
B. Méndez,6.9,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250068974.jpg?v=4.07,39,3,1,14
X. Simons,6.9,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128451.jpg?v=4.07,33,2,2,10
J. Doku,6.9,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250113142.jpg?v=4.07,14,1,1,3
M. Zaccagni,6.9,FWD,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250150875.jpg?v=4.07,13,0,0,16
Pedri,6.9,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250143693.jpg?v=4.07,8,0,1,6
L. Modrić,6.9,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/74699.jpg?v=4.07,8,0,0,5
Galeno,6.8,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121327.jpg?v=4.07,51,4,4,11
M. Elyounoussi,6.8,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250055967.jpg?v=4.07,32,2,0,21
D. Kamada,6.8,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132313.jpg?v=4.07,10,0,0,11
T. Castellanos,6.8,FWD,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187694.jpg?v=4.07,6,0,0,3
F. De Jong,6.8,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250084709.jpg?v=4.07,3,0,0,7
G. Reyna,6.8,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134661.jpg?v=4.07,2,0,0,0
M. Oyarzabal,6.7,FWD,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250097180.jpg?v=4.07,27,2,0,11
Rodri,6.7,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250082664.jpg?v=4.07,25,1,1,17
R. De Paul,6.7,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086037.jpg?v=4.07,10,0,0,12
J. Kimmich,6.6,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250070417.jpg?v=4.07,32,0,2,34
Felipe Anderson,6.5,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064178.jpg?v=4.07,21,0,1,19
Pepê,6.5,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250159919.jpg?v=4.07,21,1,2,14
M. Thuram,6.5,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250068805.jpg?v=4.07,19,1,0,3
L. Goretzka,6.5,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041771.jpg?v=4.07,16,0,0,27
Brahim Díaz,6.5,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088039.jpg?v=4.07,15,1,1,1
Romário Baró,6.5,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101440.jpg?v=4.07,3,0,0,3
C. Soler,6.5,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088328.jpg?v=4.07,1,0,0,0
T. Lemar,6.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250042778.jpg?v=4.07,0,0,0,0
Pedro Rodríguez,6.4,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250002701.jpg?v=4.07,14,2,0,2
T. Kroos,6.4,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/103147.jpg?v=4.07,13,0,0,16
K. Lee,6.4,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121584.jpg?v=4.07,12,1,0,8
M. Arnautovic,6.4,FWD,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1903428.jpg?v=4.07,8,1,0,2
Y. Poulsen,6.3,FWD,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250022869.jpg?v=4.07,12,0,1,7
G. Isaksen,6.3,FWD,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101877.jpg?v=4.07,7,0,1,3
H. Lozano,6.3,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106789.jpg?v=4.07,6,0,0,5
E. Smith Rowe,6.3,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250087672.jpg?v=4.07,3,0,0,1
Y. Vertessen,6.2,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250116363.jpg?v=4.07,16,1,2,5
Gavi,6.2,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250139255.jpg?v=4.07,8,1,0,8
J. Larsson,6.2,FWD,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250090718.jpg?v=4.07,3,0,0,0
João Cancelo,6.1,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024746.jpg?v=4.07,37,1,1,25
S. Lino,6.1,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250173502.jpg?v=4.07,33,2,3,15
A. Hakimi,6.1,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088061.jpg?v=4.07,30,1,0,33
S. Eustaquio,6.1,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250116817.jpg?v=4.07,25,1,0,28
A. Zambo Anguissa,6.1,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086987.jpg?v=4.07,21,1,0,21
E. Nketiah,6.1,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250077451.jpg?v=4.07,9,1,0,2
B. Barcola,6.1,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134138.jpg?v=4.07,6,0,0,6
O. Óskarsson,6.1,FWD,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250129690.jpg?v=4.07,5,0,0,1
E. Elmas,6.1,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250091841.jpg?v=4.07,5,0,0,4
D. Klaassen,6.1,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250013855.jpg?v=4.07,4,0,0,4
Fábio Vieira,6.1,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250113351.jpg?v=4.07,3,0,0,2
Y. Moukoko,6.1,FWD,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134659.jpg?v=4.07,2,0,0,2
N. Molina,6,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250172673.jpg?v=4.07,33,0,3,18
Gabriel,6,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250131901.jpg?v=4.07,31,0,0,28
C. Augusto,6,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250188223.jpg?v=4.07,25,0,0,24
J. Oblak,6,GK,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250012069.jpg?v=4.07,24,0,0,0
A. Davies,6,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128120.jpg?v=4.07,22,0,0,21
Vitinha,6,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101444.jpg?v=4.07,22,0,1,18
G. Donnarumma,6,GK,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250078922.jpg?v=4.07,21,0,0,0
Luis Alberto,6,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250020654.jpg?v=4.07,19,0,1,15
D. Rice,6,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250083732.jpg?v=4.07,19,0,0,24
Matheus Nunes,6,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250145803.jpg?v=4.07,16,0,1,8
Koke,6,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1909917.jpg?v=4.07,16,0,0,26
V. Claesson,6,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024171.jpg?v=4.07,16,0,0,14
E. Achouri,6,FWD,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132393.jpg?v=4.07,15,0,1,5
M. Tillman,6,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250123677.jpg?v=4.07,14,0,1,11
E. Camavinga,6,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128270.jpg?v=4.07,14,0,0,21
Ederson,6,GK,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250073809.jpg?v=4.07,13,0,0,0
M. Llorente,6,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250079670.jpg?v=4.07,12,0,2,5
M. Kovačić,6,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250023551.jpg?v=4.07,9,0,0,6
Vasco Sousa,6,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128456.jpg?v=4.07,0,0,0,0
T. Courtois,6,GK,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250011668.jpg?v=4.07,0,0,0,0
T. Partey,6,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086316.jpg?v=4.07,0,0,0,0
A. Balde,5.9,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250135416.jpg?v=4.07,19,0,0,15
M. Neuer,5.9,GK,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/97923.jpg?v=4.07,15,0,0,0
G. Til,5.9,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250099671.jpg?v=4.07,7,0,0,3
Fabián Ruiz,5.9,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250115436.jpg?v=4.07,5,0,0,5
Toni Martínez,5.9,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250068973.jpg?v=4.07,1,0,0,0
L. Lerager,5.8,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250059199.jpg?v=4.07,34,3,1,29
X. Schlager,5.8,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250065408.jpg?v=4.07,31,1,2,31
R. Bardghji,5.8,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250165617.jpg?v=4.07,10,1,0,2
Emre Can,5.8,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250017824.jpg?v=4.07,8,0,0,13
C. Baumgartner,5.8,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250089289.jpg?v=4.07,8,0,1,2
J. Kiwior,5.8,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250105681.jpg?v=4.07,7,0,0,7
F. Carvalho,5.8,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250117502.jpg?v=4.07,5,0,0,3
U. Sadiq,5.8,FWD,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088136.jpg?v=4.07,4,0,0,0
Fran Navarro,5.8,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250079395.jpg?v=4.07,1,0,0,0
N. Schlotterbeck,5.7,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134856.jpg?v=4.07,30,0,1,33
R. Nelson,5.7,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250077450.jpg?v=4.07,14,0,2,7
R. Pepi,5.7,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187620.jpg?v=4.07,13,1,1,0
D. Ceballos,5.7,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086709.jpg?v=4.07,12,1,0,9
B. Turrientes,5.7,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250129415.jpg?v=4.07,7,0,0,4
J. Lindstrøm,5.7,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250110724.jpg?v=4.07,2,0,0,0
R. Bensebaini,5.6,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250119677.jpg?v=4.07,24,0,0,26
D. Frattesi,5.6,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088150.jpg?v=4.07,23,1,1,17
G. Di Lorenzo,5.5,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064229.jpg?v=4.07,35,1,1,34
M. Škriniar,5.5,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041563.jpg?v=4.07,33,1,0,43
W. Saliba,5.5,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250127439.jpg?v=4.07,31,0,0,30
Marquinhos,5.5,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064064.jpg?v=4.07,25,0,1,31
A. Witsel,5.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/103335.jpg?v=4.07,25,0,0,34
A. Rüdiger,5.5,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250028211.jpg?v=4.07,23,0,0,26
Rúben Dias,5.5,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250058220.jpg?v=4.07,22,0,1,34
A. Bastoni,5.5,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250091199.jpg?v=4.07,20,0,0,17
S. Lobotka,5.5,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250055982.jpg?v=4.07,19,0,0,23
M. Tel,5.5,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250140936.jpg?v=4.07,19,2,1,3
M. Sabitzer,5.5,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024349.jpg?v=4.07,18,0,2,9
Saúl Ñíguez,5.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250017725.jpg?v=4.07,18,1,0,18
M. Ter Stegen,5.5,GK,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250007631.jpg?v=4.07,18,0,0,0
M. Vecino,5.5,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086300.jpg?v=4.07,18,1,0,13
Diogo Costa,5.5,GK,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250076675.jpg?v=4.07,17,0,0,0
J. Gvardiol,5.5,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250127284.jpg?v=4.07,17,0,1,21
Ronald Araújo,5.5,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134170.jpg?v=4.07,17,0,0,23
B. White,5.5,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250156002.jpg?v=4.07,17,0,0,11
K. Laimer,5.5,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250065413.jpg?v=4.07,16,0,0,26
J. Schouten,5.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250172787.jpg?v=4.07,16,0,0,23
M. Ugarte,5.5,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250161762.jpg?v=4.07,16,0,0,20
D. Alaba,5.5,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1906540.jpg?v=4.07,15,0,1,16
Salih Özcan,5.5,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081693.jpg?v=4.07,14,0,0,18
B. Pavard,5.5,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081921.jpg?v=4.07,13,0,0,11
Pablo Barrios,5.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250139036.jpg?v=4.07,13,1,1,6
K. Walker,5.5,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250010259.jpg?v=4.07,13,0,0,16
N. Mazraoui,5.5,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250075995.jpg?v=4.07,12,0,0,20
M. De Ligt,5.5,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081554.jpg?v=4.07,3,0,0,5
A. Cornelius,5.5,FWD,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041664.jpg?v=4.07,1,0,0,0
A. Zerbin,5.5,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112609.jpg?v=4.07,0,0,0,0
Arda Güler,5.5,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250161881.jpg?v=4.07,0,0,0,0
Éder Militão,5.5,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121965.jpg?v=4.07,0,0,0,0
Nuno Mendes,5.5,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250136465.jpg?v=4.07,0,0,0,0
M. Hermoso,5.4,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250063940.jpg?v=4.07,28,1,0,22
M. Guendouzi,5.4,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250122927.jpg?v=4.07,13,0,1,16
D. Dumfries,5.4,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112690.jpg?v=4.07,13,0,1,6
A. Tchouameni,5.4,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250105244.jpg?v=4.07,7,0,0,12
W. Zaïre-Emery,5.3,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153849.jpg?v=4.07,35,1,3,17
K. Kampl,5.3,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250014636.jpg?v=4.07,19,0,2,12
F. Dimarco,5.3,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250056189.jpg?v=4.07,16,0,0,7
